,Season,Week_No,Team,Name,Nationality,Age,Minutes,Venue,Opponent,Result,shots_on_target_against,goals_against_gk,saves,save_pct,psxg_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,avg_distance_def_actions_gk
0,2021-2022,1,Mönchengladbach,Yann Sommer,SUI,32,90.0,Home,Bayern Munich,Draw,9,1,8,88.9,2.5,10,28,35.7,30,4,66.7,53.1,9,88.9,61.8,10,1,10.0,1,12.0
1,2021-2022,1,Bayern Munich,Manuel Neuer,GER,35,90.0,Away,Mönchengladbach,Draw,4,1,3,75.0,0.4,6,8,75.0,44,9,18.2,24.9,6,0.0,22.3,6,0,0.0,2,19.8
2,2021-2022,1,Augsburg,Rafał Gikiewicz,POL,33,90.0,Home,Hoffenheim,Defeat,8,4,4,50.0,3.4,11,17,64.7,31,4,35.5,34.0,8,75.0,56.5,8,0,0.0,2,14.8
3,2021-2022,1,Hoffenheim,Oliver Baumann,GER,31,90.0,Away,Augsburg,Win,0,0,0,,0.0,6,14,42.9,39,9,25.6,29.0,9,44.4,35.1,6,0,0.0,1,12.8
4,2021-2022,1,Union Berlin,Andreas Luthe,GER,34,90.0,Home,Bayer Leverkusen,Draw,3,1,2,66.7,0.6,2,12,16.7,23,4,39.1,38.4,6,50.0,41.5,5,0,0.0,1,15.1
5,2021-2022,1,Bayer Leverkusen,Lukáš Hrádecký,FIN,31,90.0,Away,Union Berlin,Draw,5,1,4,80.0,1.1,8,19,42.1,33,3,39.4,34.7,7,85.7,62.4,6,0,0.0,1,21.0
6,2021-2022,1,Wolfsburg,Koen Casteels,BEL,29,90.0,Home,Bochum,Win,1,0,1,100.0,0.1,3,9,33.3,17,5,29.4,33.9,6,66.7,56.8,4,0,0.0,1,15.0
7,2021-2022,1,Bochum,Manuel Riemann,GER,32,90.0,Away,Wolfsburg,Defeat,7,1,6,85.7,3.1,21,42,50.0,53,6,64.2,47.7,10,80.0,58.7,10,2,20.0,5,18.6
8,2021-2022,1,Arminia,Stefan Ortega,GER,28,90.0,Home,Freiburg,Draw,6,0,6,100.0,1.2,21,44,47.7,61,2,59.0,50.5,12,66.7,52.0,12,0,0.0,1,19.1
9,2021-2022,1,Freiburg,Mark Flekken,NED,28,90.0,Away,Arminia,Draw,3,0,3,100.0,0.9,8,17,47.1,22,3,54.5,46.5,7,71.4,62.3,9,1,11.1,0,9.5
10,2021-2022,1,Stuttgart,Florian Müller,GER,23,90.0,Home,Greuther Fürth,Win,4,1,3,75.0,1.0,5,8,62.5,23,5,34.8,32.8,4,0.0,13.8,5,0,0.0,0,3.5
11,2021-2022,1,Greuther Fürth,Sascha Burchert,GER,31,90.0,Away,Stuttgart,Defeat,15,5,10,66.7,5.0,7,18,38.9,26,5,46.2,42.3,9,66.7,49.0,10,0,0.0,1,13.9
12,2021-2022,1,Dortmund,Gregor Kobel,SUI,23,90.0,Home,Eintracht Frankfurt,Win,3,2,2,33.3,1.9,11,19,57.9,49,2,30.6,31.6,9,44.4,33.0,5,0,0.0,2,18.8
13,2021-2022,1,Eintracht Frankfurt,Kevin Trapp,GER,31,90.0,Away,Dortmund,Defeat,7,5,2,28.6,2.6,11,20,55.0,35,5,48.6,35.8,6,50.0,38.3,2,0,0.0,2,16.8
14,2021-2022,1,Mainz 05,Robin Zentner,GER,26,90.0,Home,RB Leipzig,Win,2,0,2,100.0,0.8,5,21,23.8,23,7,60.9,50.6,8,87.5,70.1,19,3,15.8,2,14.3
15,2021-2022,1,RB Leipzig,Péter Gulácsi,HUN,31,90.0,Away,Mainz 05,Defeat,2,1,1,50.0,1.4,3,4,75.0,11,2,27.3,28.4,3,33.3,37.0,5,0,0.0,1,33.0
